time,pressure,altitude,velocity,acc_x,acc_y,acc_z,acc_tot
1.160,101.4985,124.069,452.904,-307.024,-117.758,-98.613,311.100
1.180,101.4753,129.875,458.650,-286.745,-108.152,-90.311,287.293
1.200,101.4525,135.977,461.969,-181.973,-57.812,-53.080,165.976
1.220,101.4323,142.002,458.549,134.123,9.606,-34.464,-171.013
1.240,101.4056,148.619,458.964,-24.014,25.793,-39.495,20.732
1.260,101.3773,155.836,457.775,0.889,27.216,-0.252,-59.432
1.280,101.3474,163.649,456.835,0.178,11.918,-8.805,-47.019
1.300,101.3202,171.596,455.247,20.812,38.600,-17.358,-79.364
1.320,101.2908,179.836,454.082,21.524,11.562,-9.056,-58.257
1.340,101.2604,188.344,452.232,29.706,26.149,-45.533,-92.528
1.360,101.2338,196.626,450.346,43.403,26.326,-35.722,-94.272
1.380,101.2008,205.341,445.929,42.336,51.941,176.345,-220.848
1.400,101.1669,214.449,441.945,18.678,54.610,156.723,-199.213
1.420,101.1361,223.496,438.735,120.782,38.245,20.377,-160.520
1.440,101.1176,231.188,435.828,112.421,7.115,-10.314,-145.317
1.460,101.0913,238.587,432.819,114.734,27.216,-8.805,-150.446
1.480,101.0522,247.072,429.840,96.590,37.889,-53.583,-148.974
1.500,101.0128,256.448,426.337,135.190,30.596,34.967,-175.151
1.520,100.9632,267.555,423.687,97.479,-23.480,-1.509,-132.479
1.540,100.9207,279.239,420.453,120.959,29.528,-35.722,-161.734
1.560,100.8885,290.255,416.622,115.267,86.095,-68.425,-191.514
1.580,100.8495,301.382,413.711,99.436,26.149,-47.797,-145.583
1.600,100.8100,312.588,410.880,91.787,-34.153,48.552,-141.509
1.620,100.7808,322.756,407.568,128.964,-33.975,3.522,-165.611
1.640,100.7448,332.770,403.962,141.949,39.845,14.339,-180.331
1.660,100.7122,342.309,401.139,95.700,4.625,-51.822,-141.129
1.680,100.6762,351.817,397.848,124.517,-37.711,24.402,-164.571
1.700,100.6402,361.311,394.661,126.296,14.586,-0.755,-159.338
1.720,100.6068,370.534,391.528,122.916,16.543,10.063,-156.632
1.740,100.5807,378.806,388.932,94.811,3.380,-22.892,-129.794
1.760,100.5452,387.705,386.749,75.600,-12.630,-7.044,-109.170
1.780,100.5132,396.439,384.036,77.734,67.061,-12.830,-135.662
1.800,100.4871,404.611,380.937,105.306,-62.970,3.522,-154.948
1.820,100.4569,412.624,378.374,78.446,17.610,-52.325,-128.126
1.840,100.4259,420.584,375.904,80.225,40.379,-16.352,-123.490
1.860,100.4002,428.120,373.472,81.292,-8.716,-36.225,-121.624
1.880,100.3668,435.898,370.464,101.926,-34.687,-48.803,-150.411
1.900,100.3370,443.636,367.506,101.215,34.331,44.275,-147.886
1.920,100.3001,451.896,365.075,86.273,8.005,21.886,-121.565
1.940,100.2733,459.855,362.835,72.576,24.903,-21.886,-111.990
1.960,100.2419,467.914,360.009,103.527,-34.153,4.780,-141.320
1.980,100.2177,475.536,356.999,110.820,39.312,-12.578,-150.457
2.000,100.1934,482.808,354.790,68.307,0.000,38.237,-110.481
2.020,100.1641,490.175,353.205,37.533,27.927,-4.780,-79.227
2.040,100.1333,497.752,350.417,91.253,43.225,35.973,-139.390
2.060,100.0974,505.904,347.211,107.974,-68.840,-4.025,-160.315
2.080,100.0716,513.801,344.958,79.157,13.697,4.780,-112.676
2.100,100.0474,521.362,342.085,101.926,26.860,-36.225,-143.657
2.120,100.0191,528.957,339.674,81.470,26.326,-21.634,-120.509
2.140,99.9933,536.398,337.563,67.061,29.706,2.013,-105.574
